No.;ClientName;TransactionType;Category1;Description;Price;ContractType;Surface;Area;Address;FormatedLivingArea;Rooms;Baths;Ages;PriceM2;FloorId;AdministrationPrice;Neighborhood;Stratum;Garages;Extras;Latitude;Longitude;Ascesor;Dep¢sito;ModifyDate;Link
10;YB Inmobiliaria;Venta;Apartamento;OPORTUNIDAD.!! Hermoso Apartamento de 72 m˝! Usted lo est† buscando,  nosotros se lo tenemos.! De 2 a§os de Construido,  EXCELENTE estado,  Piso 3 con ASCENSOR,  Muy ILUMINADO,  2 alcobas,  Estudio,  2 Ba§os,  Sala Comedor con Chimenea y Balc¢n,  Cocina Integral,  2 Garajes Independientes Cubiertos,  Deposito,  Sal¢n social,  Terraza con BBQ,  Parqueadero de Visitantes,  Bicicletero. EXCELENTE UBICACI‡N,  Barrio muy RECURSIVO,  Cerca de Cll 100,  Cll 116,  Av. Suba,  Auto Norte,  rodeado de parques,  supermercados.;450000000;Professional;72;72;Carrera 51  102A-49;;2;2;1 a 8 a§os;6250000;3;558000;Pasadena;3;2;Interiores$Barra estilo americano, Calentador, Chimenea, Cit¢fono, Cocina Integral, Cocina tipo Americano, Dep¢sito / Bodega, Estudio, Hall de Alcobas, Instalaci¢n de gas, Zona de lavander°a|Exteriores$Ascensor, Circuito cerrado de TV, En conjunto cerrado, Parqueadero Visitantes, Porter°a / Recepci¢n, Vigilancia|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Residencial;4.690770149;-74.06210327;1;VERDADERO;2/15/2021 5:40:57 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6093064.aspx
11;Vanguardia Inmobiliaria;Venta;Apartamento;te presentamos a la venta un excelente apartamento en el sector de Puente Largo,  al norte de nuestra ciudad. Es una apartamento ideal para disfrutar en familia,  gracias a su gran sector social que conjuga la perfecci¢n la sala y comedor con una linda chimenea d†ndole as° un toque de modernismo,  con una amplia cocina con barra americana. Todo el ambiente es muy amplio y se disfruta mucha luz,  piso 5to,  en 95 metros cuadrados,  ud y su familia podr†n disfrutar de toda la com.;600000000;Professional;95;95;calle 104b  58 31;85,00 m2;3;2;1 a 8 a§os;6315789.47;5;420000;Pasadena;5;2;Interiores$Alarma, Balc¢n, Barra estilo americano, Calentador, Chimenea, Cit¢fono, Cocina Integral, Cocina tipo Americano, Dep¢sito / Bodega, Instalaci¢n de gas, Zona de lavander°a|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Parqueadero Visitantes, Sal¢n Comunal, Vista panor†mica|del Sector$Colegios / Universidades, Parques cercanos, Sobre v°a principal, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Comercial, Zona Residencial;4.692629814;-74.06575775;1;VERDADERO;2/12/2021 8:07:14 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5801662.aspx
12;Pablo Chacon;Venta;Apartamento;Vendo Apartamento de una Habitaci¢n, dos Ba§os, Sala Comedor, pisos de madera, cocina americana abierta, como nuevo. Conjunto con gimnasio, terraza, salones sociales, parqueadero para visitantes.;399000000;Particular;51;51;Carrera 47 106a 68;;1;2;1 a 8 a§os;7823529.41;0;300000;Pasadena;0;1;;4.695459843;-74.05793762;0;FALSO;2/13/2021 3:59:27 AM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6091349.aspx
13;Pablo Chacon;Venta;Apartamento;Hermoso Apartamento de una alcoba, un ba§o, sala comedor, cocina abierta, estudio, parqueadero cubierto. Ubicado en Conjunto cerrado Makay en excelente ubicaci¢n en Pasadena con videovigilancia, terraza, zonas sociales, parques.;354000000;Particular;42;42;Carrera 47 106a 60;;1;1;1 a 8 a§os;8428571.43;0;225000;Pasadena;0;1;;4.695380211;-74.05795288;0;FALSO;2/13/2021 3:51:02 AM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6091329.aspx
14;G.Catch Bienes Raices;Venta;Apartamento;"Apartamento; sala comedor,  tres habitaciones con closet,  dos ba§os,  cocina integral,  balcon,  parqueadero y dep¢sito y ascensor.  Al frente del centro comercial Titan y a dos cuadras de Makro,  a una cuadra de la Calle 80 y Av. Boyaca. Cercano a  transporte p£blico como Transmilenio y Sitp,  as° como transporte intermunicipal. Zonas verdes cercanas..";380000000;Professional;70;70;CRA. 70C #80'48 TORRE 2 APTO 403;70,00 m2;3;2;9 a 15 a§os;5428571.43;4;237000;Pasadena;4;1;Interiores$Balc¢n, Ba§o Auxiliar, Calentador, Cit¢fono, Cocina Integral, Dep¢sito / Bodega, Instalaci¢n de gas, Sauna / Turco / Jacuzzi, Zona de lavander°a|Exteriores$Ascensor, Circuito cerrado de TV, En conjunto cerrado, Garaje(s), Jard°n, Parqueadero Visitantes, Porter°a / Recepci¢n, Sal¢n Comunal, Terraza, Vigilancia, Vista panor†mica, Zona Infantil, Zonas Verdes|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Comercial, Zona Residencial;4.694769382;-74.08829498;1;VERDADERO;2/12/2021 7:22:15 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5307394.aspx
15;Mubrick SAS;Venta;Apartamento;FAVOR NO COMISIONISTAS. Iluminado,  amplio y moderno. Cuenta con dos alcobas,  estudio,  dos ba§os,  sala comedor,  cocina cerrada,  dos parqueaderos cubiertos y dep¢sito. Sector cercano a transporte p£blico,  excelentes v°as de acceso,  cercano a centros comerciales,  colegios y comercio..;375500000;Professional;80;80;Carrera 53 # 103B - 52;80,00 m2;2;2;16 a 30 a§os;4693750;3;531000;Pasadena;3;2;Interiores$Calentador, Cit¢fono, Closet, Dep¢sito / Bodega, Estudio, Instalaci¢n de gas, Shut de basura|Exteriores$En conjunto cerrado, Garaje Cubierto, Parqueadero Visitantes, Porter°a / Vigilancia, Sal¢n Comunal, Tanques de Agua, Vigilancia privada 24*7|del Sector$Colegios / Universidades, C¢modas vias de acceso, Parques cercanos, Sobre v°a principal, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Residencial;4.691999912;-74.06300354;0;VERDADERO;2/12/2021 4:27:30 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5719782.aspx
16;Inboni Inmobiliaria;Venta;Apartamento;"Apartamento Duplex  en venta,  ubicado en pasadena,   5 piso,  en el primer piso encontramos,  puerta de ingreso blindada,  cocina cerrada,  zona de lavanderia,  ba§o social,  sala comedor con chimenea; en el segundo piso encontraremos 3 habitaciones ,  la  principal con ba§o y vestier,  ba§o de habitaciones,   terraza. vista exterior,  excelente ubicaci¢n,  iluminado,  buena ventilaci¢n,  finos acabados,  pisos en madera laminada,  tiene parqueadero cubierto y deposito.  El edificio cuenta con con ascensor. un parqueadero cubierto y deposito.  Buenas v°as de acceso entre ellas la calle 100 ,  Av suba,  calle 116,  carrera 50. En  la Zona encuentra Supermercados,  Hoteles y Bancos,  transporte publico, zona tranquila y segura..";570000000;Professional;110;110;Carrera 50 # 103B - 57;100,00 m2;3;3;16 a 30 a§os;5181818.18;2;720000;Pasadena;2;1;Interiores$Balc¢n, Ba§o Auxiliar, Calentador, Chimenea, Cit¢fono, Closet, Cocina Integral, Cocineta, Dep¢sito / Bodega, Escalera de Emergencia, Hall de Alcobas, Instalaci¢n de gas, Puerta de seguridad, Servicios independientes, Shut de basura|Exteriores$Circuito cerrado de TV, En conjunto cerrado, Garaje Cubierto, Parqueadero Visitantes, Porter°a / Vigilancia, Sal¢n Comunal, Terraza, Vigilancia privada 24*7|del Sector$µrea Urbana, Bombas de gasolina, Cerca de Zona Urbana, Colegios / Universidades, C¢modas vias de acceso, Sobre v°a secundaria, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Residencial|#Apartamento#$Duplex;4.691999912;-74.06099701;0;VERDADERO;2/12/2021 2:49:56 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-3365258.aspx
17;Commodity Asesorias S.A.S.;Venta;Apartamento;Excelente ubicaci¢n,  cerca a parques,  zonas verdes,  parque para ni§os,  zona residencial,  sector tranquilo,  agradable y muy seguro. El edificio cuenta con gimnasio dotado,  lobby amplio,  teatrino,  zonas humedas,  zona lavanderia,  sala de juntas,  area social con cafeteria,  cuenta con terraza comunal con zona BBQ y zona de juegos infantiles. El apartamento cuenta con dos balcones,  es exterior. Apartamento para estrenar. Gran oportunidad.  .;720000000;Professional;106;106;Carrera 50 # 106 - 50;106,00 m2;3;3;1 a 8 a§os;6792452.83;7;580000;Pasadena;7;2;Interiores$Balc¢n, Ba§o Auxiliar, Ba§o Independiente, Barra estilo americano, Calentador, Cit¢fono, Closet, Cocina Integral, Cocina tipo Americano|Exteriores$Acceso Pavimentado, Ascensor, Parqueadero Visitantes, Planta ElÇctrica, Porter°a / Recepci¢n, Sal¢n Comunal, Vigilancia|del Sector$Parques cercanos, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Residencial;4.693820953;-74.06053162;1;FALSO;2/12/2021 2:35:39 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5717730.aspx
18;AR INMOBILIARIA;Venta;Apartamento;"Codigo: 3540. Apartamento para la venta en Pasadena. Ubicado cerca de los centros comerciales Iserra 100 y Cafam floresta,  cuenta con f†cil acceso por la calle 100,  la carrera 68 y la avenida suba. El inmueble consta de hall de acceso,  sala-comedor con balc¢n cubierto,  chiminea a gas y pisos en madera laminada; cocina integral abierta tipo americano con estufa a gas y horno elÇctrico,  zona de lavander°a con calentador de gas. Tiene hall de alcobas,  un ba§o auxiliar,  dos habitaciones con closet y ba§o privado. Cuenta con dos parqueaderos en linea y dep¢sito. Zonas comunes con ascensor,  sal¢n comunal,  terraza BBQ,  y vigilancia privada 24/7..";445000000;Professional;64;64;KR 51 102A 36 AP 407 ED Altadena;59,00 m2;2;3;1 a 8 a§os;6953125;4;291000;Pasadena;4;2;Interiores$Balc¢n, Ba§o Auxiliar, Cit¢fono, Closet, Cocina Integral, Cocina tipo Americano, Dep¢sito / Bodega, Hall de Alcobas, Zona de BBQ|Exteriores$Ascensor, En conjunto cerrado, Garaje Cubierto, Porter°a / Vigilancia, Sal¢n Comunal, Vigilancia privada 24*7|del Sector$µrea Urbana, Colegios / Universidades, C¢modas vias de acceso, Parques cercanos, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Comercial, Zona Residencial;4.690561771;-74.0620575;1;VERDADERO;2/12/2021 2:01:43 AM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5231514.aspx
19;Bienes Urbanos Inmobiliarios;Venta;Apartamento;En venta Apartamento en Pasadena,  noroccidente de Bogot† D.C. Pent House D£plex con 116 m2 de †rea privada + 14 m2 de terraza cubierta. Apto. Interior,  con buena iluminaci¢n y ventilaci¢n natural. 3 Habitaciones,  3 ba§os m†s cuarto y ba§o de servicio,  2 parqueaderos independientes. Entrando encuentra un amplio sal¢n con la zona social de la sala,  cuenta con chimenea funcional,  comedor,  cocina,  ba§o social y piso en madera cedro. Subiendo encuentra 2 habitaciones y un ba§o con ducha,  al final del corredor est† la alcoba principal con walking closet y el ba§o. Luego la terraza cubierta de 14 m2,  deposito en el s¢tano. Hecho en mamposter°a tradicional,  muy buena vista,  ubicaci¢n estratÇgica con v°as de acceso como la calle 100,  la Av. Suba,  la carrera  53 y la calle 116. A 5 cuadras de la estaci¢n de transmilenio de la autopista norte,  3 cuadras de la estaci¢n de Puente Largo de Av. Suba,  supermercados como el Çxito,  Romi,  Carulla,  Ol°mpica.Estrato 5. Administraci¢n: $525.000 pesos..;569000000;Professional;130;130;Calle 106 # 51 - 02;116,00 m2;3;3;16 a 30 a§os;4376923.08;5;525000;Pasadena;5;2;Interiores$Alarma, Ba§o Auxiliar, Cit¢fono, Closet, Cocina Integral, Dep¢sito / Bodega, Escalera de Emergencia, Patio, Piso en Baldosa /  M†rmol, Piso en Madera, Sensor de movimiento, Shut de basura|Exteriores$Ascensor, Bah°a exterior de parqueo, Cancha de Baloncesto, Circuito cerrado de TV, Con cerca elÇctrica, Garaje / Parqueadero(s), Garaje Cubierto, Porter°a / Vigilancia, Sal¢n Comunal, Tanques de Agua, Terraza, Vigilancia privada 24*7|del Sector$Bombas de gasolina, Colegios / Universidades, C¢modas vias de acceso, Parques cercanos, Sobre v°a secundaria, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Comercial, Zona Residencial|#Apartamento#$Duplex, PentHouse;4.695000172;-74.06199646;1;VERDADERO;2/12/2021 1:52:22 AM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5297924.aspx
20;Caceres y Asociados Inmobiliaria S.A.S.;Venta;Apartamento;Excelente apartamento,  cocina abierta,  zona de lavander°a,  sala comedor con balc¢n,  alcoba principal amplia con ba§o privado,  alcoba auxiliar con ba§o privado,  1 parqueadero,  1 deposito. 4 a§os de construido,  excelentes acabados. El edifcio cuenta con sal¢n social,  gimnasio,  terraza BBQ,  parque infantil,  parqueadero de visitantes.;360000000;Professional;51;51;Carrera 50 No 102A -34;;2;2;1 a 8 a§os;7058823.53;2;325000;Pasadena;2;1;Interiores$Barra estilo americano, Calentador, Cit¢fono, Cocina Integral, Dep¢sito / Bodega, Instalaci¢n de gas, Zona de lavander°a|Exteriores$Ascensor, Circuito cerrado de TV, Garaje(s), Parqueadero Visitantes, Porter°a / Recepci¢n, Sal¢n Comunal, Sal¢n de Juegos, Terraza, Vigilancia, Zona Infantil|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Residencial;0;0;1;VERDADERO;2/11/2021 10:03:50 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-5347242.aspx
21;Imsa Ltda;Venta;Apartamento;Lindo apto 5 piso,  138 mts,  sala,  comedor,  estudio,  con vista exterior,  cocina integral a gas,  ba§o social,  balc¢n, 3 alcobas grandes cada una con ba§o privado y vista exterior,  1 habitaci¢n auxiliar con ba§o,  2 parqueaderos en linea,  1 deposito,  6 a§os de construido,  terraza BBQ,  planta elÇctrica,  estrato 5..;700000000;Professional;135;135;carrera 51 No 102 30;135,00 m2;3;3;1 a 8 a§os;5185185.19;5;900000;Pasadena;5;2;Interiores$Cocina tipo Americano, Cuarto de Servicio, Dep¢sito / Bodega, Estudio, Hall de Alcobas, Instalaci¢n de gas, Zona de lavander°a|Exteriores$Ascensor, En conjunto cerrado, Garaje(s), Vista panor†mica, Vivienda Multifamiliar|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. P£blico cercano, Zona Residencial;4.690473557;-74.06195831;1;VERDADERO;2/11/2021 9:37:39 PM;https://www.fincaraiz.com.co/apartamento-en-venta/bogota/pasadena-det-6083653.aspx
